id,name,popularity,duration_ms,explicit,track_number,type,release_date,album_name,album_total_tracks,artist_id,artist_name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
29O4t4CViDRSDwiutvsOLS,LoveProdRocoberry,52.0,220626,,1,track,2021-07-04,LoveProdRocoberry,2,2e4G04F77jxVuDYo44TCSm,Loco,0.648,0.461,0.623,,11.0,0.109,-5.04,1.0,0.0369,180.174,4,0.415
7oLyy8aPrMu6hka0SaUWxz,BlueSummer,51.0,211560,,2,track,2021-07-28,Dreamers,4,68KmkJeZGfwe1OUaivBa2L,ATEEZ,0.0148,0.651,0.848,,11.0,0.309,-4.844,1.0,0.0452,103.988,4,0.392
2mKl38xBfLznqODvyaNQPq,FireSaturday,58.0,201786,,1,track,2021-10-27,FireSaturday,2,7qxo9RTWfEoFKN7XGtNV6V,SECRETNUMBER,0.2,0.735,0.837,,9.0,0.0551,-1.186,,0.0434,125.926,4,0.618
6uo5uOXkWZxhJnvmzOiMyI,Century,46.0,209285,,2,track,2021-10-14,MyMentalHealthCentury,4,5e9SnnT1mabuWwjwu6FrZD,YouthFountain,0.00502,0.392,0.989,,4.0,0.283,-3.351,1.0,0.0683,89.998,4,0.175
6xZLTFK96jeEFkkldwKMsA,EndIt,45.0,212973,,5,track,2021-04-20,DISHARMONYBREAKOUT,6,3JjvsPeGMbDJqsphe2z8xU,P1Harmony,0.0502,0.435,0.898,,10.0,0.437,-2.833,,0.237,173.988,4,0.589
3byyICTPVU79WZQj6H6m8w,TouchFeatMOON,49.0,180173,,2,track,2021-03-15,SET,3,6y9nlaoynxSvoTGY09Vdcy,WOODZ,0.0914,0.749,0.499,,9.0,0.0889,-6.575,,0.0739,141.991,4,0.52
14bycLXzjEIFKVQCe2K6M2,MarryYou,49.0,180986,,3,track,2021-02-22,DontCallMeThe7thAlbum,9,2hRQKC0gqlZGPrmUKbcchR,SHINee,0.7,0.687,0.601,,6.0,0.0569,-4.62,,0.0421,78.047,4,0.623
6kEZ2GttdwQeAj7lz58vkh,RIDE,50.0,183346,,1,track,2021-08-12,RIDE,1,3ybZTNrlK0QhL4rBxfLHOc,Gaho,0.0435,0.763,0.512,,,0.217,-4.637,1.0,0.0431,96.882,4,0.58
0n1ZEsej7mfQAVg9bzO4vQ,PromiseYou,46.0,211160,,14,track,2021-10-25,FavoriteThe3rdAlbumRepackage,14,7f4ignuCJhLXfZ9giKT7rH,NCT127,0.108,0.632,0.874,6.34e-06,,0.118,-2.763,1.0,0.0546,121.954,4,0.233
2eEVS8HGd0xpmsUOCuVIzI,RushHour,50.0,228160,,1,track,2021-05-24,RushHour,1,3ybZTNrlK0QhL4rBxfLHOc,Gaho,0.0632,0.808,0.672,,1.0,0.0996,-5.073,,0.0769,119.032,4,0.67
12jfNawkTUb40C0iQ46u3W,Wings,49.0,213933,,1,track,2021-02-24,Wings,1,0CJkEzffVZLgav03xXeC9s,PIXY,0.0944,0.584,0.93,6.65e-06,2.0,0.0428,-1.917,1.0,0.223,131.727,4,0.479
4KJ8wgT7D6ZsSmVlXjEptF,LetMeIn,50.0,191866,,1,track,2021-09-23,LetMeIn,1,6hhqsQZhtp9hfaZhSd0VSD,WJSN,0.0219,0.763,0.921,,,0.428,-2.861,1.0,0.0564,127.998,4,0.828
4SC39HUSx4BmtRT3txyA89,Rememberme,52.0,219090,,8,track,2021-06-01,WATERFALL,12,0UntV1Bw2hk3fbRrm9eMP6,BI,0.582,0.78,0.465,,,0.104,-7.501,1.0,0.0622,138.117,4,0.772
3uZA0ESQMYXlOb7bXHwlfd,TheJuice,48.0,193230,,1,track,2021-06-23,TheJuice,1,4BBN286rBKyCWsSPq2cxYO,SamKim,0.416,0.784,0.554,,,0.216,-7.255,1.0,0.296,97.161,4,0.63
3LPGSFnV3zANLiXQiQGjOx,Healer,52.0,227185,,3,track,2021-04-19,TheBookofUsNegentropyChaosswallowedupinlove,7,5TnQc2N1iKlFjYD7CPGvFc,DAY6,0.00145,0.644,0.741,,2.0,0.0694,-4.743,1.0,0.0316,123.986,4,0.807
5InqA90eImGshbaTwnG0dN,IAmTheBest,,208730,,13,track,2021-11-12,KPopHits2021,18,1l0mKo96Jh9HVYONcRl3Yp,2NE1,0.00759,0.819,0.845,0.00816,,0.056,-3.738,1.0,0.0383,127.993,4,0.695
6JPIU7vP5gY81UkFu7V9Ur,WANNABEEnglishVer,52.0,191242,,2,track,2021-01-22,NotShyEnglishVer,4,2KC9Qb60EaY0kW4eH68vr3,ITZY,0.00392,0.822,0.902,0.000102,6.0,0.192,-4.18,,0.0587,122.004,4,0.69
4qNK9zbRfo03SGjasmLyaG,Nightfalling,54.0,248616,,1,track,2021-09-18,YUMIsCellsPt2OriginalTelevisionSoundtrack,2,4mbvd7ZJ2goftjy1L33LiB,JohnPark,0.843,0.59,0.484,0.000662,2.0,0.106,-7.094,1.0,0.0281,83.98,4,0.799
